IndexPlanningHorizon,IndexBranchingNode,Iteration,LBfrac,UBfrac,GAPfrac,IntFound,LBint,UBint,GAPint,MSecondsMP,MSecondsPP,MSecondsAUXCG,MSecondsStrongBranching,MPSizeConstraints,MPSizeVariables,ColumnsAdded,PPNetworkConstructionTime,PPNetworkSizeNodes,PPNetworkSizeArcs,LazyConstraintAdded,BranchType,IndexParentBranchingNode,MSecondsFilterMPVars,MSecondsFilterPPNodes,VehicleID,TripID,MaintenanceID,FracValue,BranchValue
5,2,2,31409.1,31700.9,0.0092063,0,31409.1,32841.4,0.0436126,0,0,0,0,40,226,4,0,37,152,,,,,,,,,,
5,2,3,31700.9,31700.9,0,0,31409.1,32841.4,0.0436126,0,0,0,0,40,226,0,0,35,141,,,,,,,,,,
5,3,,,,,,,,,,,,,,,,,,,,VEHICLE_MAINTENANCE,2,0,0,,,,0.5,1
5,3,4294967295,-1.79769e+308,1.79769e+308,inf,0,0,1.79769e+308,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
5,3,0,31700.9,32685.4,0.0301212,0,31409.1,32841.4,0.0436126,0,0,0,0,40,226,0,0,35,141,,,,,,,,,,
5,3,1,31700.9,32559.4,0.0263658,0,31409.1,32841.4,0.0436126,0,0,0,0,40,235,9,0,37,169,,,,,,,,,,
5,3,2,32480.6,32539.5,0.0018098,1,31409.1,32539.5,0.0347408,0,0,0,0,40,243,8,0,37,172,,,,,,,,,,
6,1,0,-1.79769e+308,460000,3.90803e+302,1,-1.79769e+308,460000,3.90803e+302,0,0,0,0,35,32,0,0,0,0,,,,,,,,,,
6,1,1,-168918,48931.1,4.45216,1,-168918,48931.1,4.45216,0,0,0,0,35,99,67,0,28,93,,,,,,,,,,
6,1,2,-168918,48144.2,4.50859,1,-168918,48144.2,4.50859,0,0,0,0,35,150,51,0,36,161,,,,,,,,,,
6,1,3,-127966,48144.2,3.65797,0,-127966,48144.2,3.65797,0,0,0,0,35,214,64,0,40,197,,,,,,,,,,
6,1,4,-126254,47791.9,3.64174,1,-126254,47791.9,3.64174,0,0,0,0,35,297,83,0,50,226,,,,,,,,,,
6,1,5,-54832.9,47711,2.14927,1,-54832.9,47711,2.14927,0,0,0,0,35,347,50,0,40,175,,,,,,,,,,
6,1,6,-54832.9,47711,2.14927,0,-54832.9,47711,2.14927,0,0,0,0,35,376,29,0,42,153,,,,,,,,,,
6,1,7,47426.7,47507.7,0.00170414,1,47426.7,47507.7,0.00170414,0,0,0,0,35,378,2,0,32,108,,,,,,,,,,
6,1,,,,,,,,,,,,,,,,,,,,Trunc. CG,4294967295,0,0,,,,1.79769e+308,1.79769e+308
7,1,0,-1.79769e+308,500000,3.59539e+302,1,-1.79769e+308,500000,3.59539e+302,0,0,0,0,37,34,0,0,0,0,,,,,,,,,,
7,1,1,-167036,87208.2,2.91537,1,-167036,87208.2,2.91537,0,0,0,0,37,129,95,0,31,92,,,,,,,,,,
7,1,2,-167036,52975.5,4.15308,1,-167036,52975.5,4.15308,0,0,0,0,37,224,95,0,44,205,,,,,,,,,,
7,1,3,-105999,51031.5,3.07712,1,-105999,51031.5,3.07712,0,0,0,0,37,274,50,0,47,222,,,,,,,,,,
7,1,4,42887.6,48996.2,0.124676,1,42887.6,48996.2,0.124676,0,0,0,0,37,338,64,0,42,233,,,,,,,,,,
7,1,5,47893.1,48996.2,0.0225149,0,47893.1,48996.2,0.0225149,0,0,0,0,37,356,18,0,41,169,,,,,,,,,,
7,1,6,47941.8,48996.2,0.0215208,0,47941.8,48996.2,0.0215208,0,0,0,0,37,368,12,0,44,174,,,,,,,,,,
7,1,7,48996.2,48996.2,0,0,48996.2,48996.2,0,0,0,0,0,37,368,0,0,41,152,,,,,,,,,,
8,1,0,-1.79769e+308,540000,3.32906e+302,1,-1.79769e+308,540000,3.32906e+302,0,0,0,0,39,36,0,0,0,0,,,,,,,,,,
8,1,1,-203167,87975.5,3.30936,1,-203167,87975.5,3.30936,0,0,0,0,39,137,101,0,34,105,,,,,,,,,,
8,1,2,-203167,52381.1,4.87863,0,-203167,87975.5,3.30936,0,0,0,0,39,255,118,0,41,217,,,,,,,,,,
8,1,3,-141369,51801.2,3.72907,0,-141369,87975.5,2.60692,0,0,0,0,39,307,52,0,42,241,,,,,,,,,,
8,1,4,49527.2,50923.2,0.027414,1,49527.2,50923.2,0.027414,0,0,0,0,39,338,31,0,38,185,,,,,,,,,,
8,1,5,50662.9,50923.2,0.00511319,0,50662.9,50923.2,0.00511319,0,0,0,0,39,342,4,0,36,171,,,,,,,,,,
8,1,6,50923.2,50923.2,0,0,50923.2,50923.2,0,0,0,0,0,39,342,0,0,36,173,,,,,,,,,,
9,1,0,-1.79769e+308,560000,3.21017e+302,1,-1.79769e+308,560000,3.21017e+302,0,0,0,0,40,37,0,0,0,0,,,,,,,,,,
9,1,1,-225521,146150,2.54308,1,-225521,146150,2.54308,0,0,0,0,40,111,74,0,33,95,,,,,,,,,,
9,1,2,-205351,33425.9,7.14347,1,-205351,33425.9,7.14347,0,0,0,0,40,206,95,0,35,128,,,,,,,,,,
9,1,3,-205351,32933.1,7.2354,0,-205351,33425.9,7.14347,0,0,0,0,40,254,48,0,42,195,,,,,,,,,,
9,1,4,-113071,32319.5,4.49853,0,-113071,33425.9,4.38272,0,0,0,0,40,282,28,0,40,172,,,,,,,,,,
9,1,5,28616,32159.7,0.11019,0,28616,33425.9,0.143897,0,0,0,0,40,295,13,0,41,167,,,,,,,,,,
9,1,6,31061,32155.9,0.0340492,0,31061,33425.9,0.0707501,0,0,0,0,40,298,3,0,37,146,,,,,,,,,,
9,1,7,31461.6,32155.9,0.0215913,0,31461.6,33425.9,0.0587655,0,0,0,0,40,300,2,0,37,147,,,,,,,,,,
9,1,8,32155.9,32155.9,0,0,32155.9,33425.9,0.0379946,0,0,0,0,40,300,0,0,37,141,,,,,,,,,,
9,1,,,,,,,,,,,,,,,,,,,,Trunc. CG,4294967295,0,0,,,,1.79769e+308,1.79769e+308
9,2,,,,,,,,,,,,,,,,,,,,VEHICLE_MAINTENANCE,1,0,0,,,,0.5,1
9,2,4294967295,-1.79769e+308,1.79769e+308,inf,0,0,1.79769e+308,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
9,2,0,32155.9,32306.8,0.00467158,0,32155.9,33425.9,0.0379946,0,0,0,0,40,300,0,0,37,141,,,,,,,,,,
9,2,1,32296.8,32301.8,0.00015479,0,32155.9,33425.9,0.0379946,0,0,0,0,40,301,1,0,37,136,,,,,,,,,,
9,3,,,,,,,,,,,,,,,,,,,,VEHICLE_TRIP,2,0,0,,,,0.5,1
9,3,4294967295,-1.79769e+308,1.79769e+308,inf,0,0,1.79769e+308,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
9,3,0,32296.8,33707.8,0.0418576,0,32155.9,33425.9,0.0379946,0,0,0,0,40,301,0,0,37,136,,,,,,,,,,
9,3,1,32296.8,32940.2,0.0195302,0,32155.9,33425.9,0.0379946,0,0,0,0,40,317,16,0,38,160,,,,,,,,,,
9,3,2,32296.8,32593.7,0.00910753,0,32155.9,33425.9,0.0379946,0,0,0,0,40,322,5,0,37,164,,,,,,,,,,
9,3,3,32317,32593.7,0.0084879,0,32155.9,33425.9,0.0379946,0,0,0,0,40,324,2,0,37,159,,,,,,,,,,
9,3,4,32593.7,32593.7,0,0,32155.9,33425.9,0.0379946,0,0,0,0,40,324,0,0,37,159,,,,,,,,,,
9,4,,,,,,,,,,,,,,,,,,,,VEHICLE_MAINTENANCE,3,0,0,,,,0.5,1
9,4,4294967295,-1.79769e+308,1.79769e+308,inf,0,0,1.79769e+308,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
9,4,0,32593.7,33415.9,0.024606,1,32155.9,33415.9,0.0377067,0,0,0,0,40,324,0,0,37,159,,,,,,,,,,
9,4,1,33205,33415.9,0.006311,0,32155.9,33415.9,0.0377067,0,0,0,0,40,325,1,0,36,143,,,,,,,,,,
9,4,2,33415.9,33415.9,0,0,32155.9,33415.9,0.0377067,0,0,0,0,40,325,0,0,36,143,,,,,,,,,,
10,1,0,-1.79769e+308,460000,3.90803e+302,1,-1.79769e+308,460000,3.90803e+302,0,0,0,0,35,32,0,0,0,0,,,,,,,,,,
10,1,1,-167735,51265.9,4.27187,1,-167735,51265.9,4.27187,0,0,0,0,35,102,70,0,28,93,,,,,,,,,,
10,1,2,926.736,50129.1,0.981513,1,926.736,50129.1,0.981513,0,0,0,0,35,159,57,0,32,150,,,,,,,,,,
10,1,3,926.736,50129.1,0.981513,0,926.736,50129.1,0.981513,0,0,0,0,35,222,63,0,37,165,,,,,,,,,,
10,1,4,926.736,48605.6,0.980934,0,926.736,50129.1,0.981513,0,0,0,0,35,276,54,0,43,179,,,,,,,,,,
10,1,5,44373.1,48605.6,0.0870787,0,44373.1,50129.1,0.114823,0,0,0,0,35,324,48,0,46,215,,,,,,,,,,
10,1,6,44373.1,48601.8,0.0870069,1,44373.1,48601.8,0.0870069,0,0,0,0,35,394,70,0,52,246,,,,,,,,,,
10,1,7,45631.2,48114.3,0.0516087,1,45631.2,48114.3,0.0516087,0,0,0,0,35,439,45,0,52,219,,,,,,,,,,
10,1,8,47871.4,48033.4,0.00337099,1,47871.4,48033.4,0.00337099,0,0,0,0,35,444,5,0,38,139,,,,,,,,,,
10,1,,,,,,,,,,,,,,,,,,,,Trunc. CG,4294967295,0,0,,,,1.79769e+308,1.79769e+308
